"id","source_url","visible_public_info","question_patterns","private_data_used","join_required","approval_required","next_step","notes"
"F01","https://www.facebook.com/groups/778761392809256/posts/1506831890002199/","Public search result surfaced budget-friendly cruise tips; direct Facebook page blocked rapid access.","Budget cruise tips and savings strategies","No","Likely yes","Yes","Manual browser review only if user approves and logs in","No scraping or posting."
"F02","https://www.facebook.com/groups/CarnivalCruiseLines/","Public search result describes Carnival discussion tips hacks and community.","Carnival tips WiFi drink package excursions","No","Likely yes","Yes","Capture live rules in authenticated browser only if approved","No group join performed."
"F03","https://www.facebook.com/groups/CarnivalCruiseLines/posts/25845854478358375/","Public snippet says no promotions spam self-promotion affiliate links sales posts or spam.","Carnival rules and promotion boundaries","No","Possibly","Yes","Use as compliance warning","No outreach."
"F04","https://www.facebook.com/groups/CarnivalCruiseLines/posts/26614283074848841/","Public snippet says no unrelated ads affiliate links or business promotions.","Carnival tips excursions meetups","No","Possibly","Yes","Manual rule screenshot after approval","No private data collected."
"F05","https://www.facebook.com/groups/6675768235812240/posts/25909159582046484/","Public snippet references Royal Caribbean group rule no self promotion.","Royal Caribbean budget and travel-agent concerns","No","Likely yes","Yes","Manual public-rule capture only","No direct contact."
"F06","https://www.facebook.com/groups/disneycruisetipsandplanning/posts/1690371242320452/","Public snippet says travel agents and businesses are not permitted to promote or advertise services.","Disney cruise tips tricks planning","No","Likely yes","Yes","Use only for question mining if visible and compliant","No posts."
"F07","https://www.facebook.com/groups/2470927819770990/posts/3156991474497951/","Public snippet references Disney Cruise Tips Tricks Planning and no other travel-agent promotions or self-promotion.","Disney family budget WiFi gratuities","No","Likely yes","Yes","Manual review before any use","No private group data."
"F08","https://www.facebook.com/groups/msccruisestipsanddeals/posts/26871466095793049/","Public snippet says self-promotion and selling within the group is not permitted.","MSC drink packages WiFi deals","No","Likely yes","Yes","Use as do-not-promote signal","No posting."
"F09","https://www.facebook.com/groups/657504621667854/posts/1801585603926411/","Public snippet shows budgeting for Royal Caribbean cruise.","Royal Caribbean budgeting after booking","No","Likely yes","Yes","Question pattern only","No private data."
"F10","https://www.facebook.com/groups/cruiseshipstipsandtricks/posts/2403099536876422/","Public snippet shows planning a first cruise on a budget.","First cruise budget planning","No","Likely yes","Yes","Question pattern only","No private data."
